iter	Passed	Remaining
0	70	70050
1	74	37045
2	77	25833
3	81	20347
4	85	16958
5	89	14800
6	93	13198
7	97	12047
8	101	11154
9	105	10418
10	107	9686
11	111	9173
12	115	8758
13	118	8361
14	122	8066
15	126	7771
16	130	7548
17	134	7343
18	138	7156
19	141	6957
20	145	6792
21	149	6645
22	153	6499
23	157	6385
24	161	6280
25	164	6178
26	169	6097
27	172	5997
28	176	5896
29	179	5819
30	184	5756
31	188	5689
32	191	5618
33	195	5564
34	199	5506
35	203	5453
36	207	5388
37	210	5323
38	214	5286
39	218	5246
40	222	5197
41	226	5158
42	230	5129
43	234	5094
44	238	5051
45	241	5016
46	246	5002
47	251	4979
48	254	4941
49	258	4904
50	262	4885
51	266	4867
52	271	4851
53	274	4815
54	278	4783
55	282	4767
56	287	4757
57	290	4724
58	295	4716
59	299	4688
60	302	4663
61	306	4633
62	310	4614
63	313	4586
64	317	4567
65	321	4549
66	325	4531
67	329	4511
68	332	4487
69	336	4470
70	340	4449
71	344	4435
72	348	4420
73	352	4414
74	356	4392
75	359	4369
76	362	4349
77	367	4344
78	371	4327
79	375	4313
80	378	4293
81	382	4277
82	385	4263
83	390	4255
84	394	4242
85	397	4225
86	400	4202
87	403	4180
88	406	4165
89	410	4149
90	413	4132
91	417	4116
92	420	4098
93	424	4086
94	427	4074
95	431	4062
96	435	4049
97	438	4037
98	442	4028
99	446	4015
100	449	4002
101	453	3995
102	458	3992
103	461	3973
104	464	3955
105	468	3948
106	472	3940
107	476	3935
108	479	3922
109	483	3915
110	487	3908
111	492	3901
112	495	3891
113	499	3883
114	503	3873
115	506	3862
116	510	3854
117	514	3844
118	517	3833
119	521	3824
120	525	3817
121	529	3810
122	532	3799
123	536	3788
124	540	3781
125	543	3771
126	547	3763
127	550	3753
128	555	3747
129	558	3740
130	562	3733
131	567	3729
132	571	3722
133	574	3712
134	578	3705
135	582	3700
136	586	3694
137	590	3690
138	594	3684
139	598	3675
140	602	3667
141	605	3660
142	609	3654
143	613	3647
144	617	3639
145	621	3632
146	625	3627
147	628	3620
